location_id,zone,aisle,bay,level,x_m,y_m,capacity_cm3,max_weight_kg,blocked
A-01,AMBIENT,1,8,3,0.0,12,12000,30,Y
A-02,AMBIENT,2,7,3,3.2,12,12000,50,N
A-03,ambient,3,7,3,6.4,12,24000,50,N
A-04,AMBIENT,4,7,1,9.6,8,24000,50,N
A-05,AMBIENT,5,2,1,12.8,0,24000,80,N
A-06,AMBIENT,6,6,2,16.0,12,18000,50,N
A-07,AMBIENT,7,10,2,19.2,4,,80,N
A-08,AMBIENT,8,3,1,22.4,4,24000,80,N
A-09,AMBIENT,9,8,2,25.6,0,24000,30,N
A-10,AMBIENT,10,9,1,28.8,8,18000,50,N
A-11,AMBIENT,11,5,1,32.0,12,12000,50,N
A-12,AMBIENT,12,7,2,35.2,0,18000,80,Y
A-13,AMBIENT,13,1,1,38.4,4,18000,50,N
A-14,AMBIENT,14,1,3,41.6,0,18000,80,Y
A-15,AMBIENT,15,10,3,44.8,0,12000,50,N
A-16,AMBIENT,16,4,1,48.0,8,24000,30, yes 
A-17,AMBIENT,17,10,1,51.2,12,24000,30,Y
A-18,AMBIENT,18,3,3,54.4,12,18000,50,Y
C-01,COLD,1,3,1,65.0,0,24000,80,N
C-02,COLD,2,10,2,68.2,4,18000,80,N
C-03,COLD,3,1,3,71.4,8,24000,30,N
C-04,COLD,4,6,2,74.6,8,24000,50,Y
C-05,COLD,5,9,2,77.8,12,18000,50,N
C-06,COLD,6,2,3,81.0,4,12000,30,N
C-07,COLD,7,4,1,84.2,4,18000,80,N
C-08,COLD,8,4,2,87.4,12,18000,30,N
C-09,COLD,9,1,1,90.6,12,12000,30,Y
C-10,COLD,10,1,1,93.8,12,24000,50,N
K-01,CONTROLLED,1,7,1,100.0,4,12000,80,Y
K-02,CONTROLLED,2,4,2,103.2,8,24000,50,Y
K-03,CONTROLLED,3,7,1,106.4,0,18000,30,Y
K-04,CONTROLLED,4,4,1,109.6,8,12000,30,N
K-05,CONTROLLED,5,1,2,112.8,12,24000,50,N
K-06,CONTROLLED,6,2,3,116.0,12,24000,50,N
K-07,CONTROLLED,7,7,3,119.2,8,18000,80,N
K-08,CONTROLLED,8,8,3,122.4,12,12000,50,N
