order_id,sku_id,qty,ordered_at
ORD-0001,SKU-013,4,2026-08-03 11:00
ORD-0001,SKU-006,12,2026-08-01 10:00
ORD-0001,SKU-019,8,2026-08-26 10:00
ORD-0001,SKU-020,4,2026-08-16 17:00
ORD-0002,SKU-018,2,2026-08-01 06:00
ORD-0002,SKU-026,12,2026-08-21 09:00
ORD-0003,SKU-024,8,2026-08-14 12:00
ORD-0003,SKU-027,8,2026-08-01 14:00
ORD-0003,SKU-007,1,2026-08-08 16:00
ORD-0003,SKU-009,2,2026-08-27 10:00
ORD-0003,SKU-002,8,2026-08-12 20:00
ORD-0004,SKU-019,4,2026-08-17 19:00
ORD-0004,SKU-027,8,2026-08-17 10:00
ORD-0004,SKU-018,1,2026-08-17 06:00
ORD-0004,SKU-028,2,2026-08-06 06:00
ORD-0004,SKU-025,4,2026-08-06 10:00
ORD-0004,SKU-016,2,2026-08-04 07:00
ORD-0005,SKU-022,2,2026-08-18 21:00
ORD-0005,SKU-026,4,2026-08-18 07:00
ORD-0005,SKU-008,1,2026-08-02 09:00
ORD-0006,SKU-015,2,2026-08-25 08:00
ORD-0006,SKU-015,1,2026-08-17 12:00
ORD-0006,SKU-023,1,2026-08-17 21:00
ORD-0006,SKU-017,8,2026-08-23 14:00
ORD-0006,SKU-030,2,2026-08-07 20:00
ORD-0007,SKU-014,1,2026-08-15 16:00
ORD-0007,SKU-003,4,2026-08-14 08:00
ORD-0008,SKU-022,1,2026-08-04 10:00
ORD-0008,SKU-023,2,2026-08-12 10:00
ORD-0009,SKU-029,1,2026-08-15 13:00
ORD-0009,SKU-024,12,2026-08-13 21:00
ORD-0009,SKU-006,12,2026-08-27 13:00
ORD-0010,SKU-023,2,2026-08-17 18:00
ORD-0010,SKU-011,2,2026-08-12 16:00
ORD-0011,SKU-024,2,2026-08-11 20:00
ORD-0012,SKU-023,1,2026-08-11 15:00
ORD-0012,SKU-017,12,2026-08-04 13:00
ORD-0012,SKU-029,1,2026-08-09 14:00
ORD-0012,SKU-002,8,2026-08-06 14:00
ORD-0013,SKU-027,2,2026-08-22 14:00
ORD-0013,SKU-013,1,2026-08-17 21:00
ORD-0014,SKU-011,1,2026-08-02 11:00
ORD-0014,SKU-014,8,2026-08-09 06:00
ORD-0014,SKU-021,1,2026-08-09 08:00
ORD-0014,SKU-020,8,2026-08-03 14:00
ORD-0014,SKU-028,1,2026-08-01 16:00
ORD-0014,SKU-018,2,2026-08-09 10:00
ORD-0015,SKU-017,4,2026-08-04 11:00
ORD-0016,SKU-002,1,2026-08-10 15:00
ORD-0016,SKU-017,4,2026-08-10 20:00
ORD-0016,SKU-017,4,2026-08-09 17:00
ORD-0017,SKU-009,1,2026-08-01 12:00
ORD-0018,SKU-016,1,2026-08-15 09:00
ORD-0018,SKU-022,4,2026-08-14 21:00
ORD-0018,SKU-018,4,2026-08-13 15:00
ORD-0018,SKU-023,1,2026-08-08 16:00
ORD-0018,SKU-007,4,2026-08-23 10:00
ORD-0019,SKU-012,12,2026-08-27 10:00
ORD-0019,SKU-001,1,2026-08-24 14:00
ORD-0019,SKU-014,1,2026-08-03 18:00
ORD-0019,SKU-028,2,2026-08-10 13:00
ORD-0020,SKU-010,1,2026-08-06 11:00
ORD-0020,SKU-009,2,2026-08-09 17:00
ORD-0020,SKU-011,12,2026-08-18 16:00
ORD-0020,SKU-008,1,2026-08-10 12:00
ORD-0020,SKU-012,1,2026-08-11 18:00
ORD-0020,SKU-003,2,2026-08-17 12:00
ORD-0021,SKU-017,4,2026-08-03 14:00
ORD-0021,SKU-027,1,2026-08-13 07:00
ORD-0022,SKU-001,1,2026-08-21 13:00
ORD-0022,SKU-003,2,2026-08-17 10:00
ORD-0022,SKU-022,8,2026-08-26 18:00
ORD-0022,SKU-025,1,2026-08-16 10:00
ORD-0023,SKU-024,2,2026-08-05 07:00
ORD-0023,SKU-027,4,2026-08-17 19:00
ORD-0023,SKU-024,4,2026-08-17 10:00
ORD-0024,SKU-025,2,2026-08-27 06:00
ORD-0024,SKU-027,4,2026-08-26 13:00
ORD-0024,SKU-003,1,2026-08-05 17:00
ORD-0024,SKU-004,2,2026-08-15 07:00
ORD-0024,SKU-021,1,2026-08-18 13:00
ORD-0025,SKU-009,1,2026-08-26 08:00
ORD-0025,SKU-024,8,2026-08-18 08:00
ORD-0025,SKU-022,2,2026-08-24 21:00
ORD-0025,SKU-009,4,2026-08-28 14:00
ORD-0026,SKU-024,4,2026-08-08 20:00
ORD-0026,SKU-016,4,2026-08-03 21:00
ORD-0027,SKU-010,4,2026-08-20 12:00
ORD-0027,SKU-003,2,2026-08-11 14:00
ORD-0027,SKU-021,4,2026-08-10 10:00
ORD-0027,SKU-001,2,2026-08-16 14:00
ORD-0027,SKU-022,1,2026-08-07 21:00
ORD-0027,SKU-010,4,2026-08-10 20:00
ORD-0028,SKU-015,4,2026-08-18 12:00
ORD-0028,SKU-010,12,2026-08-16 06:00
ORD-0028,SKU-010,2,2026-08-27 20:00
ORD-0028,SKU-009,2,2026-08-07 08:00
ORD-0029,SKU-003,1,2026-08-17 14:00
ORD-0029,SKU-012,1,2026-08-27 14:00
ORD-0029,SKU-029,1,2026-08-12 13:00
ORD-0029,SKU-016,8,2026-08-16 18:00
ORD-0029,SKU-001,1,2026-08-16 20:00
ORD-0030,SKU-010,4,2026-08-14 17:00
ORD-0030,SKU-013,1,2026-08-27 16:00
ORD-0030,SKU-001,1,2026-08-11 18:00
ORD-0030,SKU-004,8,2026-08-07 06:00
ORD-0031,SKU-010,1,2026-08-03 18:00
ORD-0031,SKU-013,12,2026-08-19 08:00
ORD-0031,SKU-012,8,2026-08-25 14:00
ORD-0031,SKU-028,1,2026-08-04 07:00
ORD-0031,SKU-027,4,2026-08-21 10:00
ORD-0031,SKU-008,12,2026-08-14 16:00
ORD-0032,SKU-025,2,2026-08-14 06:00
ORD-0032,SKU-026,4,2026-08-13 12:00
ORD-0033,SKU-003,1,2026-08-24 19:00
ORD-0033,SKU-015,2,2026-08-05 15:00
ORD-0033,SKU-016,1,2026-08-18 10:00
ORD-0033,SKU-006,2,2026-08-11 15:00
ORD-0033,SKU-010,1,2026-08-24 14:00
ORD-0033,SKU-013,4,2026-08-10 21:00
ORD-0034,SKU-022,2,2026-08-06 11:00
ORD-0034,SKU-003,1,2026-08-26 21:00
ORD-0034,SKU-018,1,2026-08-11 20:00
ORD-0034,SKU-014,1,2026-08-07 13:00
ORD-0034,SKU-003,1,2026-08-18 08:00
ORD-0035,SKU-008,2,2026-08-26 12:00
ORD-0035,SKU-029,1,2026-08-28 19:00
ORD-0035,SKU-013,2,2026-08-17 12:00
ORD-0036,SKU-009,1,2026-08-02 21:00
ORD-0036,SKU-009,2,2026-08-12 10:00
ORD-0036,SKU-022,2,2026-08-21 12:00
ORD-0036,SKU-003,1,2026-08-08 18:00
ORD-0037,SKU-021,2,2026-08-10 06:00
ORD-0037,SKU-005,1,2026-08-23 21:00
ORD-0037,SKU-019,2,2026-08-03 18:00
ORD-0037,SKU-030,8,2026-08-27 20:00
ORD-0038,SKU-008,4,2026-08-08 10:00
ORD-0038,SKU-005,2,2026-08-22 09:00
ORD-0038,SKU-027,4,2026-08-21 20:00
ORD-0038,SKU-003,2,2026-08-02 06:00
ORD-0039,SKU-008,2,2026-08-02 15:00
ORD-0039,SKU-005,2,2026-08-17 19:00
ORD-0040,SKU-025,1,2026-08-03 15:00
ORD-0040,SKU-017,8,2026-08-07 18:00
ORD-0040,SKU-009,1,2026-08-20 06:00
ORD-0040,SKU-001,2,2026-08-15 14:00
ORD-0040,SKU-011,2,2026-08-08 21:00
ORD-0040,SKU-017,1,2026-08-08 06:00
ORD-0041,SKU-023,2,2026-08-02 06:00
ORD-0041,SKU-007,2,2026-08-22 19:00
ORD-0041,SKU-003,1,2026-08-22 19:00
ORD-0041,SKU-030,2,2026-08-16 07:00
ORD-0042,SKU-011,4,2026-08-12 18:00
ORD-0042,SKU-007,1,2026-08-10 08:00
ORD-0042,SKU-007,2,2026-08-07 15:00
ORD-0042,SKU-025,4,2026-08-08 20:00
ORD-0042,SKU-008,1,2026-08-10 09:00
ORD-0042,SKU-020,2,2026-08-06 13:00
ORD-0043,SKU-014,8,2026-08-02 10:00
ORD-0043,SKU-030,2,2026-08-07 06:00
ORD-0043,SKU-020,1,2026-08-02 07:00
ORD-0043,SKU-006,2,2026-08-23 16:00
ORD-0044,SKU-004,12,2026-08-06 16:00
ORD-0044,SKU-007,1,2026-08-17 20:00
ORD-0044,SKU-002,1,2026-08-24 18:00
ORD-0044,SKU-027,2,2026-08-11 20:00
ORD-0044,SKU-006,1,2026-08-03 14:00
ORD-0044,SKU-003,2,2026-08-04 12:00
ORD-0045,SKU-012,4,2026-08-10 19:00
ORD-0045,SKU-003,1,2026-08-16 12:00
ORD-0045,SKU-012,2,2026-08-15 12:00
ORD-0045,SKU-011,2,2026-08-16 06:00
ORD-0046,SKU-014,1,2026-08-21 18:00
ORD-0046,SKU-002,2,2026-08-15 08:00
ORD-0046,SKU-026,8,2026-08-09 12:00
ORD-0046,SKU-024,1,2026-08-20 16:00
ORD-0046,SKU-012,1,2026-08-20 07:00
ORD-0046,SKU-009,4,2026-08-23 16:00
ORD-0047,SKU-010,1,2026-08-25 08:00
ORD-0047,SKU-001,4,2026-08-04 21:00
ORD-0047,SKU-023,12,2026-08-25 18:00
ORD-0048,SKU-030,2,2026-08-16 10:00
ORD-0048,SKU-030,2,2026-08-01 15:00
ORD-0048,SKU-027,4,2026-08-05 13:00
ORD-0049,SKU-028,1,2026-08-12 08:00
ORD-0049,SKU-017,1,2026-08-25 11:00
ORD-0049,SKU-008,2,2026-08-21 07:00
ORD-0050,SKU-018,2,2026-08-06 19:00
ORD-0050,SKU-029,1,2026-08-03 14:00
ORD-0050,SKU-020,1,2026-08-04 19:00
ORD-0050,SKU-016,12,2026-08-15 11:00
ORD-0051,SKU-005,2,2026-08-20 13:00
ORD-0051,SKU-024,2,2026-08-25 09:00
ORD-0052,SKU-010,1,2026-08-09 17:00
ORD-0052,SKU-009,4,2026-08-07 20:00
ORD-0052,SKU-008,1,2026-08-08 10:00
ORD-0053,SKU-029,8,2026-08-07 16:00
ORD-0053,SKU-003,2,2026-08-08 13:00
ORD-0053,SKU-021,4,2026-08-21 20:00
ORD-0054,SKU-004,1,2026-08-27 13:00
ORD-0055,SKU-030,2,2026-08-10 13:00
ORD-0055,SKU-004,1,2026-08-20 12:00
ORD-0055,SKU-030,1,2026-08-17 11:00
ORD-0055,SKU-015,2,2026-08-25 06:00
ORD-0056,SKU-021,2,2026-08-20 17:00
ORD-0057,SKU-002,2,2026-08-05 07:00
ORD-0057,SKU-007,12,2026-08-02 12:00
ORD-0058,SKU-027,1,2026-08-22 17:00
ORD-0059,SKU-020,1,2026-08-07 07:00
ORD-0059,SKU-026,2,2026-08-16 08:00
ORD-0060,SKU-004,4,2026-08-22 10:00
ORD-0060,SKU-021,2,2026-08-21 11:00
ORD-0060,SKU-013,4,2026-08-14 15:00
ORD-0060,SKU-022,1,2026-08-02 15:00
ORD-0061,SKU-019,8,2026-08-14 19:00
ORD-0061,SKU-001,8,2026-08-26 17:00
ORD-0061,SKU-021,1,2026-08-24 18:00
ORD-0061,SKU-007,8,2026-08-14 11:00
ORD-0061,SKU-014,1,2026-08-03 18:00
ORD-0061,SKU-019,8,2026-08-15 11:00
ORD-0062,SKU-001,1,2026-08-05 18:00
ORD-0062,SKU-003,2,2026-08-12 11:00
ORD-0063,SKU-012,1,2026-08-17 11:00
ORD-0063,SKU-030,1,2026-08-13 21:00
ORD-0064,SKU-010,1,2026-08-02 21:00
ORD-0064,SKU-011,1,2026-08-21 18:00
ORD-0065,SKU-029,4,2026-08-23 11:00
ORD-0066,SKU-026,8,2026-08-20 18:00
ORD-0066,SKU-020,4,2026-08-27 21:00
ORD-0066,SKU-006,2,2026-08-02 18:00
ORD-0066,SKU-017,1,2026-08-12 09:00
ORD-0066,SKU-005,1,2026-08-24 12:00
ORD-0066,SKU-002,8,2026-08-27 07:00
ORD-0067,SKU-027,1,2026-08-13 20:00
ORD-0067,SKU-018,4,2026-08-25 15:00
ORD-0067,SKU-021,2,2026-08-19 13:00
ORD-0067,SKU-014,2,2026-08-12 20:00
ORD-0067,SKU-017,2,2026-08-01 06:00
ORD-0067,SKU-020,12,2026-08-15 13:00
ORD-0068,SKU-025,2,2026-08-27 20:00
ORD-0068,SKU-027,1,2026-08-16 18:00
ORD-0068,SKU-004,1,2026-08-12 19:00
ORD-0068,SKU-012,1,2026-08-15 07:00
ORD-0069,SKU-021,1,2026-08-24 16:00
ORD-0070,SKU-017,1,2026-08-25 18:00
ORD-0070,SKU-021,12,2026-08-05 06:00
ORD-0070,SKU-028,1,2026-08-20 09:00
ORD-0070,SKU-007,1,2026-08-16 15:00
ORD-0070,SKU-026,8,2026-08-06 13:00
ORD-0070,SKU-003,4,2026-08-20 14:00
ORD-0071,SKU-011,8,2026-08-09 20:00
ORD-0071,SKU-005,1,2026-08-16 12:00
ORD-0072,SKU-009,2,2026-08-08 16:00
