event_id,sku_id,location_id,qty,minutes,worker_id,event_date
REP-0001,SKU-013,K-02,12,14.0,W-05,2026-08-20
REP-0002,SKU-001,A-10,12,16.1,W-03,2026-08-02
REP-0003,SKU-020,C-10,12,13.0,W-01,2026-08-27
REP-0004,SKU-016,A-06,24,10.0,W-01,2026-08-10
REP-0005,SKU-021,K-10,6,,W-05,2026-08-08
REP-0006,SKU-030,K-07,24,15.0,W-01,2026-08-14
REP-0007,SKU-015,K-10,6,12.3,W-04,2026-08-10
REP-0008,SKU-021,K-01,24,7.3,W-01,2026-08-05
REP-0009,SKU-011,K-01,6,3.5,W-02,2026-08-26
REP-0010,SKU-009, c-02 ,6,14.2,W-05,2026-08-20
REP-0011,SKU-025,C-10,24,5.1,W-01,2026-08-08
REP-0012,SKU-015,K-07,12,5.3,W-04,2026-08-06
REP-0013,SKU-028,K-05,12,3.3,W-03,2026-08-26
REP-0014,SKU-016,A-02,6,15.6,W-01,2026-08-13
REP-0015,SKU-027,K-02,12,7.9,W-02,2026-08-13
REP-0016,SKU-005,C-09,24,3.6,W-01,2026-08-28
REP-0017,SKU-026,C-09,6,10.3,W-01,2026-08-07
REP-0018,SKU-029,A-05,6,16.5,W-01,2026-08-28
REP-0019,SKU-030,C-02,6,14.6,W-05,2026-08-27
REP-0020,SKU-026,C-03,6,7.7,W-04,2026-08-22
REP-0021,SKU-005,K-10,12,7.1,W-03,2026-08-20
REP-0022,SKU-018,A-03,24,15.9,W-02,2026-08-08
REP-0023,SKU-023,K-01,24,16.1,W-02,2026-08-25
REP-0024,SKU-010,A-05,12,4.5,W-03,2026-08-25
REP-0025,SKU-022,C-09,6,9.6,W-01,2026-08-12
REP-0026,SKU-013,A-03,6,4.1,W-01,2026-08-03
REP-0027,SKU-030,K-07,6,4.9,W-04,2026-08-22
REP-0028,SKU-002,C-08,6,3.5,W-03,2026-08-07
REP-0029,SKU-008,K-07,24,8.2,W-04,2026-08-18
REP-0030,SKU-012,K-03,12,4.0,W-04,2026-08-10
REP-0031,SKU-010,K-02,6,9.6,W-04,2026-08-10
REP-0032,SKU-007,K-08,12,8.7,W-01,2026-08-04
REP-0033,SKU-015,A-10,12,15.9,W-03,2026-08-16
REP-0034,SKU-009,C-02,6,10.5,W-02,2026-08-17
REP-0035,SKU-014,A-01,12,16.2,W-03,2026-08-13
REP-0036,SKU-021,A-09,24,13.9,W-01,2026-08-13
REP-0037,SKU-022,A-05,12,10.7,W-03,2026-08-11
REP-0038,SKU-015,C-05,24,10.2,W-05,2026-08-05
REP-0039,SKU-006,C-09,6,9.2,W-01,2026-08-09
REP-0040,SKU-028,K-08,12,16.1,W-02,2026-08-14
REP-0041,SKU-025,A-08,12,13.9,W-01,2026-08-03
REP-0042,SKU-021,A-05,12,6.0,W-03,2026-08-19
REP-0043,SKU-022,K-08,24,9.5,W-04,2026-08-04
REP-0044,SKU-008,A-05,24,4.7,W-04,2026-08-25
REP-0045,SKU-030,C-06,24,9.3,W-02,2026-08-08
REP-0046,SKU-021,K-09,24,17.9,W-03,2026-08-09
REP-0047,SKU-013,C-08,24,9.7,W-04,2026-08-19
REP-0048,SKU-017,A-01,6,3.8,W-03,2026-08-26
REP-0049,SKU-003,A-04,12,14.7,W-04,2026-08-18
REP-0050,SKU-014,K-02,6,14.0,W-02,2026-08-22
REP-0051,SKU-007,K-02,12,5.3,W-05,2026-08-27
REP-0052,SKU-024,C-06,6,5.1,W-03,2026-08-21
REP-0053,SKU-014,A-02,6,4.2,W-03,2026-08-02
REP-0054,SKU-028,K-07,24,13.9,W-03,2026-08-15
REP-0055,SKU-008,C-03,12,5.7,W-04,2026-08-23
REP-0056,SKU-029,C-03,24,13.7,W-04,2026-08-25
REP-0057,SKU-018,A-04,12,17.6,W-03,2026-08-18
REP-0058,SKU-008,K-02,24,8.0,W-02,2026-08-20
REP-0059,SKU-027,C-01,6,9.7,W-04,2026-08-26
REP-0060,SKU-021,K-06,12,10.5,W-05,2026-08-23
REP-0061,SKU-008,C-04,24,12.5,W-05,2026-08-25
REP-0062,SKU-016,K-06,24,17.8,W-04,2026-08-03
REP-0063,SKU-028,A-10,6,11.8,W-04,2026-08-21
REP-0064,SKU-025,K-06,12,6.1,W-05,2026-08-20
REP-0065,SKU-025,A-08,6,10.0,W-02,2026-08-11
REP-0066,SKU-016,A-05,12,13.0,W-02,2026-08-21
REP-0067,SKU-025,C-10,24,15.7,W-03,2026-08-18
REP-0068,SKU-016,K-03,24,16.6,W-03,2026-08-13
REP-0069,SKU-011,A-02,12,8.2,W-02,2026-08-19
REP-0070,SKU-005,A-07,24,7.3,W-03,2026-08-25
REP-0071,SKU-019,A-02,12,6.8,W-05,2026-08-14
REP-0072,SKU-009,K-08,12,14.5,W-05,2026-08-11
REP-0073,SKU-009,K-01,6,8.0,W-03,2026-08-25
REP-0074,SKU-007,C-05,12,3.4,W-03,2026-08-10
REP-0075,SKU-001,K-05,6,6.2,W-01,2026-08-21
REP-0076,SKU-012,C-02,24,5.7,W-03,2026-08-03
REP-0077,SKU-019,C-08,12,8.5,W-05,2026-08-25
REP-0078,SKU-027,K-01,12,9.3,W-05,2026-08-26
REP-0079,SKU-009,K-03,12,10.5,W-02,2026-08-08
REP-0080,SKU-029,C-10,24,4.5,W-02,2026-08-08
REP-0081,SKU-002,A-09,6,5.0,W-04,2026-08-12
REP-0082,SKU-028,C-06,24,3.9,W-02,2026-08-14
