sku_id,location_id,pick_frequency,travel_m
SKU016,A02,47,12.4
SKU001,A10,57,29.9
SKU010,A10,59,29.9
SKU014,C04,49,75.0
SKU003,C02,57,68.3
SKU029,A05,52,12.8
SKU007,K08,55,123.0
SKU028,K08,52,123.0
SKU026,C08,60,88.2
SKU021,A09,67,25.6
SKU002,C08,55,88.2
SKU022,A08,62,22.8
SKU005,C09,52,91.4
SKU027,K02,54,103.5
SKU030,K07,59,119.5
SKU009,C02,75,68.3
SKU008,K02,53,103.5
SKU011,K01,55,100.1
SKU012,A07,59,19.6
SKU004,A09,61,25.6
SKU006,K08,62,123.0
SKU020,A02,47,12.4
SKU019,K01,51,100.1
SKU024,C01,59,65.0
SKU025,C10,56,94.6
SKU023,K01,66,100.1
SKU013,K02,68,103.5
SKU017,A01,56,12.0
SKU018,A04,59,12.5
